key,en,fr,nl
"0 sales",0 sales,,
"1 hour ago",1 hour ago,,
"1 month ago",1 month ago,,
"1. Create a Listing",1. Create a Listing,,
"1. Explore",1. Explore,,
"1. Sign Up",1. Sign Up,,
"2 minutes ago",2 minutes ago,,
"2 weeks ago",2 weeks ago,,
"2. Connect",2. Connect,,
"2. Moderation",2. Moderation,,
"2. Upload Art",2. Upload Art,,
"24/7 Support",24/7 Support,,
"3 hours ago",3 hours ago,,
"3. Connect",3. Connect,,
"3. Get Discovered",3. Get Discovered,,
"3. Purchase",3. Purchase,,
"3rd Hand",3rd Hand,,
"3rdHand",3rdHand,,
"3rdHand. All rights reserved.",3rdHand. All rights reserved.,,
"4. Collect",4. Collect,,
"4. Complete Sale",4. Complete Sale,,
"4. Earn Money",4. Earn Money,,
"A marketplace for artists to sell their artwork directly to buyers.",A marketplace for artists to sell their artwork directly to buyers.,,
"About",About,,
"Access Denied",Access Denied,,
"Account Information",Account Information,,
"Account Overview",Account Overview,,
"Account type",Account type,,
"Account Type",Account Type,,
"Account Verification",Account Verification,,
"Across all artworks",Across all artworks,,
"Acrylic",Acrylic,,
"Actions",Actions,,
"Active",Active,,
"Active Conversations",Active Conversations,,
"Active Orders",Active Orders,,
"Add",Add,,
"Add a tag and press Enter",Add a tag and press Enter,,
"Add New Artwork",Add New Artwork,,
"Add to favorites",Add to favorites,,
"Admin Dashboard",Admin Dashboard,,
"Admins",Admins,,
"Advanced filters",Advanced filters,,
"All Artwork Listings",All Artwork Listings,,
"All caught up!",All caught up!,,
"All mediums",All mediums,,
"All Messages",All Messages,,
"All Purchases",All Purchases,,
"All Roles",All Roles,,
"All Specialties",All Specialties,,
"All Status",All Status,,
"All Types",All Types,,
"Already have an account?",Already have an account?,,
"Amazing artwork and excellent communication. The piece arrived exactly as described and the packaging was perfect. Highly recommend this artist!",Amazing artwork and excellent communication. The piece arrived exactly as described and the packaging was perfect. Highly recommend this artist!,,
"Amount",Amount,,
"Analytics",Analytics,,
"Approve",Approve,,
"Approved",Approved,,
"approved,",approved,,,
"Approved:",Approved:,,
"Are you sure you want to delete this artwork? This action cannot be undone.",Are you sure you want to delete this artwork? This action cannot be undone.,,
"Artist",Artist,,
"Artist Journey",Artist Journey,,
"Artist profiles",Artist profiles,,
"Artist Stats",Artist Stats,,
"Artist verification",Artist verification,,
